圖片,商品,價格1,價格2,網址
https://cf.shopee.tw/file/5db70f202b387dac3732e974af47afb0_tn,"語言/日文 日檢文法 日檢單字 日文檢定 日文寫作 N1,N2,N3,N4,N5",125,349,https://shopee.tw//語言-日文-日檢文法-日檢單字-日文檢定-日文寫作-N1-N2-N3-N4-N5-i.38875055.4702340390
https://cf.shopee.tw/file/ee1381e523cab51deb8bd70803fe48c0_tn,日檢單字絕對合格N5.N4.N3.N2.N1 一擊必殺,180,180,https://shopee.tw//日檢單字絕對合格N5.N4.N3.N2.N1-一擊必殺-i.3793795.4652107339
https://cf.shopee.tw/file/aa6a6d3619a330122295850dc8da1186_tn,絕對合格日檢單字N2(二手書）附mp3光碟,160,160,https://shopee.tw//絕對合格日檢單字N2(二手書）附mp3光碟-i.34196782.4602599792
https://cf.shopee.tw/file/7f6d748e3991a05941b9680c07a8c9c3_tn,史上最強日檢N2文法+單字精選模擬試題,172,172,https://shopee.tw//史上最強日檢N2文法-單字精選模擬試題-i.121090005.4517229517
https://cf.shopee.tw/file/7955f2a7e166f2f8eee6810c9c000777_tn,日檢單字＋文法一本搞定N2（＋MP3）,224,224,https://shopee.tw//日檢單字＋文法一本搞定N2（＋MP3）-i.121090005.4507265016
https://cf.shopee.tw/file/55e79ccdb70fe8dced3d3ba85784b891_tn,新日檢絕對合格 N1 N2 N3 N4 N5 單字大全(內附MP3光碟),360,360,https://shopee.tw//新日檢絕對合格-N1-N2-N3-N4-N5-單字大全(內附MP3光碟)-i.57453178.4441703264
https://cf.shopee.tw/file/bb5a8b27220de0e784b6950f75a2ea81_tn,絕對合格 日檢必背單字N2 (袖珍版）,160,160,https://shopee.tw//絕對合格-日檢必背單字N2-(袖珍版）-i.9252814.4160830164
https://cf.shopee.tw/file/d55804a7213e89bbe41ec783635e8589_tn,【全新】高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）,287,287,https://shopee.tw//【全新】高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）-i.171520113.4105344346
https://cf.shopee.tw/file/f7e79afd2e0bb719fa413e496822e24a_tn,新制對應 絕對合格日檢單字N2/JLPT日文檢定書,175,175,https://shopee.tw//新制對應-絕對合格日檢單字N2-JLPT日文檢定書-i.7593119.4017076459
https://cf.shopee.tw/file/22c27f978b03832e207672297d43db06_tn,(布可屋)合格快手！新日檢必考單字速成N1 N2 N3 N4 N5(附MP3),297,297,https://shopee.tw//(布可屋)合格快手！新日檢必考單字速成N1-N2-N3-N4-N5(附MP3)-i.68770059.3842361418
https://cf.shopee.tw/file/5cbea71cf3ce9733f75a2a8bf23ac310_tn,絕對合格 日檢必備單字 精修版 N2 N3,150,150,https://shopee.tw//絕對合格-日檢必備單字-精修版-N2-N3-i.7428996.3836698415
https://cf.shopee.tw/file/56f8af0e1ea6d2ac90e5cd0e1388f76e_tn,♥S&E♥日檢N2單字大全《搶分進考場》NE0003-1 印刷凸顯 紅藍遮色片替換 單字學習法，彩色印刷凸顯重點,260,260,https://shopee.tw//♥S-E♥日檢N2單字大全《搶分進考場》NE0003-1-印刷凸顯-紅藍遮色片替換-單字學習法，彩色印刷凸顯重點-i.7386720.3810869236
https://cf.shopee.tw/file/98c8e22731b53555195cf86d1b703e18_tn,"新制對應 絕對合格！日檢單字N2

/新日檢500題N2．N3

/完全掌握 2 級文法 C",150,260,https://shopee.tw//新制對應-絕對合格！日檢單字N2-新日檢500題N2．N3-完全掌握-2-級文法-C-i.34864012.3418959222
https://cf.shopee.tw/file/461eb48638bd5ac7428c2ab1800ec38e_tn,日檢N2單字+文法 一本搞定,130,130,https://shopee.tw//日檢N2單字-文法-一本搞定-i.1455036.3337506314
https://cf.shopee.tw/file/7c3c0a4b2d0f72ae382c9041fb98742a_tn,浩瀚星海【日語學習】二手《高分．暢銷！10000單字，搞定新日檢：N1.N2.N3.N4.N5必考單字（最新版）》布可屋,220,220,https://shopee.tw//浩瀚星海【日語學習】二手《高分．暢銷！10000單字，搞定新日檢：N1.N2.N3.N4.N5必考單字（最新版）》布可屋-i.35699463.3209277031
https://cf.shopee.tw/file/ad413793d51382bb959768c65874651b_tn,【山田社】袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）,240,240,https://shopee.tw//【山田社】袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.163113630.5922573039
https://cf.shopee.tw/file/274c8cda830e97d37138790cac6474ae_tn,新制對應 絕對合格！日檢單字 N2 山田社 （絕版書）,200,200,https://shopee.tw//新制對應-絕對合格！日檢單字-N2-山田社-（絕版書）-i.6948921.3160149070
https://cf.shopee.tw/file/39945e961e11a128dcbb89b77230b13f_tn,"《新日檢JLPT N1+N2+N3 關鍵單字2,500》",853,853,https://shopee.tw//《新日檢JLPT-N1-N2-N3-關鍵單字2-500》-i.1444056.2855391912
https://cf.shopee.tw/file/65c9cf095c6a5b07eb84f3a587d07c1e_tn,高分‧暢銷 10000單字，搞定新日檢：N1‧N2‧N3‧N4‧N5必考單字 最新版,239,239,https://shopee.tw//高分‧暢銷-10000單字，搞定新日檢：N1‧N2‧N3‧N4‧N5必考單字-最新版-i.6385563.2757250814
https://cf.shopee.tw/file/854fd33a46577377b2cb7afa9f42dcc7_tn,"精修重音版 新制日檢!絕對合格N1,N2,N3,N4,N5必背單字大全（25K） [二手書_良好] 0595",435,435,https://shopee.tw//精修重音版-新制日檢!絕對合格N1-N2-N3-N4-N5必背單字大全（25K）-二手書_良好-0595-i.159834670.7252819071
https://cf.shopee.tw/file/1888e8ab3dce0548120a9386541dbc69_tn,絕對合格新制日檢必勝N2情境分類單字(25K+MP3),277,277,https://shopee.tw//絕對合格新制日檢必勝N2情境分類單字(25K-MP3)-i.20570968.2618649102
https://cf.shopee.tw/file/6f62078babbd5f42b65b486a4ee8d089_tn,<書本熊>[希伯崙] 新日檢N2單字王(口袋書) /希伯崙編輯部：9789865776336,211,211,https://shopee.tw//-書本熊-希伯崙-新日檢N2單字王(口袋書)-希伯崙編輯部：9789865776336-i.25236816.7135256633
https://cf.shopee.tw/file/d7de9628b7a17c7f80f8ebb50b3307ba_tn,日檢王011 新日檢JLPT N2關鍵單字2500 | 我識出版社 9789869737104,284,284,https://shopee.tw//日檢王011-新日檢JLPT-N2關鍵單字2500-我識出版社-9789869737104-i.226783.2523916966
https://cf.shopee.tw/file/de11b933bc45eba44472628c9373fd2e_tn,"(山田社)精修版 新制日檢！絕對合格 N1,N2,N3,N4,N5必背單字大全（25Ｋ＋MP3）",431,431,https://shopee.tw//(山田社)精修版-新制日檢！絕對合格-N1-N2-N3-N4-N5必背單字大全（25Ｋ＋MP3）-i.163145167.7036313653
